Country,Code,Continent,Population,GDP per Capita,Gender Inequality Index
Afghanistan,AFG,Asia,40099460,1516.3057,0.478
Angola,AGO,Africa,34503776,5908.57,0.586
Albania,ALB,Europe,2854710,14518.906,0.796
United Arab Emirates,ARE,Asia,9365149,69733.8,0.911
Argentina,ARG,South America,45276788,21527.195,0.842
Armenia,ARM,Europe,2790971,14193.117,0.759
Antigua and Barbuda,ATG,North America,93229,19124.43,0.788
Australia,AUS,Oceania,25921094,49774.34,0.951
Austria,AUT,Europe,8922086,54121.145,0.916
Azerbaijan,AZE,Europe,10312992,14431.661,0.745
Burundi,BDI,Africa,12551215,705.0304,0.426
Belgium,BEL,Europe,11611416,51739.54,0.937
Benin,BEN,Africa,12996901,3321.5522,0.525
Burkina Faso,BFA,Africa,22100690,2179.789,0.449
Bangladesh,BGD,Asia,169356240,5911.013,0.661
Bulgaria,BGR,Europe,6885864,24398.13,0.795
Bahrain,BHR,Asia,1463266,49387.418,0.875
Bahamas,BHS,North America,407920,30210.162,0.812
Bosnia and Herzegovina,BIH,Europe,3270948,15666.54,0.78
Belarus,BLR,Europe,9578172,19751.203,0.808
Belize,BLZ,North America,400037,8762.623,0.683
Bolivia (Plurinational State of),BOL,South America,12079474,8052.1772,0.692
Brazil,BRA,South America,214326224,14592.353,0.754
Barbados,BRB,North America,281204,13754.803,0.79
Brunei Darussalam,BRN,Asia,445382,60127.023,0.829
Bhutan,BTN,Asia,777500,10907.856,0.666
Botswana,BWA,Africa,2588424,14840.913,0.693
Central African Republic,CAF,Africa,5457165,837.5047,0.404
Canada,CAN,North America,38155012,47892.945,0.936
Switzerland,CHE,Europe,8691409,71032.84,0.962
Chile,CHL,South America,19493184,25449.13,0.855
China,CHN,Asia,1425893504,17602.695,0.768
Côte d'Ivoire,CIV,Africa,27478250,5325.0303,0.55
Cameroon,CMR,Africa,27198632,3700.4644,0.576
"Congo, Democratic Republic of the",COD,Africa,95894120,1073.6433,0.479
